"Host:","arldcn24",,,,"User:","apferrei"
"Cmdline:","dstat --output /tmp/dstat-run-2000000-single-hostnet-hostfs.csv -cndy --net-packets",,,,"Date:","20 Jun 2014 09:58:01 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
27.221,5.158,65.966,0.0,0.0,1.656,5429224.0,13766943.0,0.0,16384.0,263173.0,119290.0,63126.0,63125.0
27.206,5.333,65.746,0.032,0.0,1.683,5433510.0,13776825.0,0.0,36864.0,263950.0,119534.0,63203.0,63204.0
27.094,5.266,65.673,0.032,0.0,1.935,5416826.0,13732214.0,0.0,16384.0,263944.0,118922.0,62979.0,62967.0
27.322,5.420,65.610,0.0,0.0,1.648,5430000.0,13768735.0,0.0,16384.0,264054.0,119271.0,63151.0,63150.0
26.929,5.017,65.767,0.032,0.0,2.255,5432664.0,13776114.0,0.0,16384.0,263402.0,119078.0,63169.0,63165.0
26.779,4.979,66.199,0.032,0.0,2.011,5432738.0,13777761.0,0.0,16384.0,263689.0,119382.0,63185.0,63184.0
26.544,5.124,66.200,0.064,0.0,2.069,5415930.0,13728091.0,0.0,126976.0,261954.0,119126.0,62930.0,62923.0
26.808,5.076,66.085,0.0,0.0,2.030,5413230.0,13724208.0,0.0,16384.0,261970.0,119067.0,62959.0,62958.0
26.943,4.936,66.338,0.0,0.0,1.783,5416180.0,13735401.0,0.0,16384.0,261486.0,118922.0,62995.0,62995.0
26.736,5.106,66.127,0.032,0.0,1.998,5413788.0,13724771.0,0.0,16384.0,261474.0,118832.0,62933.0,62929.0
26.544,5.156,66.327,0.0,0.0,1.973,5420174.0,13745592.0,0.0,16384.0,261552.0,118960.0,63058.0,63055.0
26.859,4.840,65.960,0.0,0.0,2.341,5409890.0,13716967.0,0.0,40960.0,261442.0,118797.0,62900.0,62899.0
26.877,5.121,66.221,0.0,0.0,1.781,5430580.0,13765456.0,0.0,28672.0,262215.0,119244.0,63122.0,63120.0
26.215,4.955,66.592,0.0,0.0,2.238,5420424.0,13747283.0,0.0,16384.0,261990.0,119132.0,63033.0,63030.0
26.540,5.365,66.127,0.032,0.0,1.937,5419166.0,13740784.0,0.0,16384.0,262171.0,119090.0,63005.0,63005.0
27.723,4.799,65.551,0.0,0.0,1.926,5461780.0,13849503.0,0.0,16384.0,273159.0,121726.0,63493.0,63496.0
27.370,5.183,65.360,0.0,0.0,2.086,5507172.0,13960540.0,0.0,86016.0,286956.0,124694.0,64079.0,64070.0
27.154,4.850,65.922,0.032,0.032,2.010,5517074.0,13989773.0,0.0,16384.0,287682.0,125156.0,64155.0,64158.0
27.241,5.131,65.505,0.0,0.0,2.122,5500732.0,13946611.0,0.0,28672.0,286993.0,124858.0,63968.0,63962.0
26.771,5.361,65.954,0.032,0.0,1.883,5519908.0,13993791.0,0.0,16384.0,286540.0,124901.0,64171.0,64169.0
26.783,5.541,65.828,0.0,0.0,1.847,5515364.0,13986235.0,0.0,16384.0,286859.0,124856.0,64105.0,64108.0
27.493,4.938,65.690,0.032,0.0,1.848,5524854.0,14006572.0,0.0,24576.0,287696.0,125263.0,64249.0,64242.0
26.870,5.253,65.871,0.0,0.0,2.006,5491606.0,13927153.0,0.0,16384.0,285493.0,124822.0,63867.0,63873.0
27.785,4.842,65.633,0.032,0.0,1.709,5483748.0,13900747.0,0.0,16384.0,283870.0,124428.0,63755.0,63747.0
27.575,5.433,65.013,0.031,0.0,1.947,5491046.0,13920889.0,0.0,28672.0,285594.0,124534.0,63849.0,63847.0
27.140,5.295,65.346,0.0,0.0,2.219,5493590.0,13928645.0,0.0,20480.0,279835.0,123933.0,63867.0,63867.0
18.718,4.061,75.793,0.063,0.0,1.364,3887312.0,9823788.0,0.0,81920.0,193458.0,87042.0,45119.0,44947.0
0.0,0.0,100.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,116.0,219.0,4.0,0.0
0.062,0.031,99.906,0.0,0.0,0.0,720.0,1914.0,0.0,0.0,217.0,354.0,11.0,5.0
0.0,0.0,100.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,157.0,289.0,2.0,0.0
0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0,0.0,16384.0,147.0,266.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,1829.0,2858.0,0.0,16384.0,229.0,344.0,23.0,15.0
0.0,0.031,99.969,0.0,0.0,0.0,6058.0,5358.0,0.0,0.0,570.0,723.0,71.0,57.0
4.269,0.942,94.444,0.0,0.0,0.345,799658.0,1951205.0,0.0,0.0,40345.0,17458.0,9351.0,9246.0
32.911,6.405,57.926,0.0,0.0,2.758,6239632.0,15822023.0,0.0,16384.0,310785.0,118928.0,72551.0,72552.0
32.858,6.268,57.930,0.032,0.0,2.912,6229598.0,15790212.0,0.0,16384.0,307030.0,118230.0,72422.0,72418.0
32.965,6.189,58.099,0.0,0.0,2.747,6193372.0,15708869.0,0.0,28672.0,304097.0,117486.0,72047.0,72041.0
33.164,5.978,58.251,0.0,0.0,2.607,6216514.0,15759662.0,0.0,24576.0,307136.0,117685.0,72261.0,72260.0
33.007,6.096,58.117,0.032,0.0,2.748,6202986.0,15727419.0,0.0,16384.0,303577.0,117198.0,72120.0,72116.0
32.708,6.389,58.233,0.0,0.0,2.670,6220824.0,15772342.0,0.0,16384.0,305345.0,117793.0,72353.0,72351.0
33.080,5.888,58.246,0.0,0.0,2.786,6188336.0,15692870.0,0.0,16384.0,303770.0,116953.0,71957.0,71964.0
32.987,6.327,57.948,0.0,0.0,2.738,6201866.0,15722110.0,0.0,16384.0,303362.0,117232.0,72093.0,72079.0
32.962,6.146,58.408,0.0,0.0,2.484,6214010.0,15755406.0,0.0,40960.0,304394.0,117392.0,72257.0,72259.0
33.418,5.981,58.038,0.032,0.0,2.532,6213018.0,15755345.0,0.0,90112.0,305042.0,117478.0,72269.0,72268.0
32.466,6.220,58.204,0.0,0.032,3.078,6214798.0,15757860.0,0.0,16384.0,305094.0,117516.0,72248.0,72245.0
35.175,6.603,55.841,0.0,0.0,2.381,6362004.0,16126641.0,0.0,16384.0,337516.0,128930.0,73980.0,73975.0
35.795,6.566,55.082,0.032,0.0,2.525,6439512.0,16332023.0,0.0,16384.0,356440.0,137256.0,74922.0,74921.0
33.696,7.001,56.809,0.0,0.0,2.494,6346600.0,16090004.0,0.0,16384.0,346747.0,134827.0,73771.0,73768.0
35.330,6.881,55.527,0.032,0.0,2.230,6434756.0,16311820.0,0.0,40960.0,358009.0,138048.0,74804.0,74805.0
35.785,7.355,54.333,0.0,0.0,2.526,6539094.0,16585536.0,0.0,16384.0,376649.0,140632.0,76099.0,76098.0
34.951,7.485,55.154,0.032,0.0,2.379,6514414.0,16513113.0,0.0,16384.0,361977.0,139258.0,75664.0,75657.0
36.236,6.890,54.577,0.0,0.0,2.297,6501150.0,16485100.0,0.0,16384.0,365048.0,139761.0,75614.0,75619.0
35.861,6.635,55.071,0.0,0.0,2.433,6435560.0,16316763.0,0.0,16384.0,357549.0,137281.0,74836.0,74828.0
35.669,6.341,55.295,0.063,0.0,2.632,6428172.0,16299011.0,0.0,196608.0,356449.0,137226.0,74746.0,74741.0
33.822,6.879,56.847,0.0,0.0,2.452,6348378.0,16097053.0,0.0,20480.0,345639.0,134067.0,73791.0,73794.0
34.211,6.183,57.070,0.032,0.0,2.505,6295636.0,15957500.0,0.0,16384.0,331010.0,127563.0,73210.0,73208.0
32.785,6.234,58.386,0.0,0.0,2.595,6189814.0,15696377.0,0.0,16384.0,306767.0,118608.0,71980.0,71973.0
32.805,6.244,58.162,0.0,0.0,2.789,6209068.0,15738386.0,0.0,16384.0,309621.0,119801.0,72180.0,72173.0
32.147,6.385,58.482,0.0,0.0,2.986,6194932.0,15712675.0,0.0,36864.0,308100.0,119024.0,72047.0,72047.0
33.176,6.086,58.026,0.0,0.0,2.712,6207678.0,15736168.0,0.0,16384.0,308720.0,119332.0,72193.0,72188.0
33.354,5.860,57.998,0.032,0.0,2.756,6213984.0,15755390.0,0.0,16384.0,310566.0,119929.0,72239.0,72238.0
