"Host:","arldcn24",,,,"User:","root"
"Cmdline:","dstat --output /tmp/dstat-run-2000000.csv -cndy --net-packets",,,,"Date:","16 Jun 2014 16:57:12 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
21.358,6.184,70.003,0.0,0.0,2.455,6830754.0,17318972.0,0.0,16384.0,331888.0,152420.0,79439.0,79435.0
21.810,6.032,69.810,0.0,0.0,2.349,6833094.0,17327707.0,0.0,16384.0,332618.0,152123.0,79441.0,79441.0
20.754,6.290,70.211,0.0,0.0,2.746,6826398.0,17311464.0,0.0,16384.0,330996.0,151874.0,79352.0,79350.0
21.417,6.327,69.503,0.032,0.0,2.721,6831040.0,17315504.0,0.0,28672.0,332172.0,152365.0,79426.0,79424.0
21.963,5.723,69.789,0.032,0.0,2.494,6872294.0,17429421.0,0.0,90112.0,331084.0,152397.0,79915.0,79918.0
21.879,6.146,69.490,0.0,0.032,2.452,6866360.0,17410827.0,0.0,16384.0,330523.0,152112.0,79853.0,79856.0
21.760,6.639,69.346,0.0,0.0,2.255,6865296.0,17410682.0,0.0,16384.0,330331.0,152088.0,79876.0,79869.0
21.038,6.143,70.146,0.0,0.0,2.673,6766966.0,17156314.0,0.0,16384.0,323962.0,150629.0,78671.0,78668.0
20.955,6.152,70.586,0.0,0.0,2.307,6758912.0,17139446.0,0.0,32768.0,323561.0,150715.0,78596.0,78597.0
20.872,6.028,70.664,0.0,0.0,2.437,6754494.0,17122713.0,0.0,28672.0,322653.0,150387.0,78489.0,78486.0
20.781,6.340,70.573,0.0,0.0,2.305,6761954.0,17147100.0,0.0,16384.0,323754.0,150639.0,78648.0,78647.0
21.829,6.011,69.851,0.0,0.0,2.309,6751544.0,17116268.0,0.0,16384.0,323025.0,150369.0,78511.0,78511.0
20.576,6.432,70.560,0.0,0.0,2.432,6760650.0,17145387.0,0.0,16384.0,323134.0,150460.0,78617.0,78624.0
21.370,6.246,69.880,0.0,0.0,2.505,6752652.0,17120096.0,0.0,16384.0,322848.0,150560.0,78528.0,78518.0
11.206,3.333,84.032,0.032,0.0,1.397,3687814.0,9319551.0,0.0,90112.0,177654.0,82486.0,42800.0,42620.0
0.031,0.0,99.969,0.0,0.0,0.0,246.0,338.0,0.0,12288.0,153.0,264.0,4.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,588.0,338.0,0.0,0.0,160.0,306.0,5.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1580.0,322.0,0.0,0.0,161.0,263.0,8.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,126.0,322.0,0.0,0.0,126.0,245.0,2.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,1076.0,322.0,0.0,0.0,162.0,255.0,9.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,66.0,322.0,0.0,0.0,176.0,342.0,1.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,366.0,322.0,0.0,12288.0,159.0,257.0,6.0,1.0
0.0,0.0,100.0,0.0,0.0,0.0,866.0,428.0,0.0,0.0,203.0,262.0,5.0,2.0
0.0,0.0,100.0,0.0,0.0,0.0,246.0,322.0,0.0,8192.0,163.0,267.0,4.0,1.0
0.031,0.062,99.906,0.0,0.0,0.0,3721.0,5088.0,0.0,0.0,389.0,614.0,45.0,36.0
0.0,0.031,99.969,0.0,0.0,0.0,8889.0,7504.0,0.0,0.0,678.0,931.0,98.0,77.0
5.601,1.627,92.240,0.0,0.0,0.532,1464042.0,3604860.0,0.0,0.0,80778.0,30333.0,17083.0,16943.0
34.178,10.643,51.346,0.0,0.0,3.833,9027508.0,22893581.0,0.0,32768.0,508214.0,170564.0,104969.0,104962.0
33.767,10.431,51.363,0.0,0.0,4.439,8996776.0,22813868.0,0.0,24576.0,515770.0,170842.0,104628.0,104631.0
34.132,10.153,51.628,0.032,0.0,4.055,9048112.0,22939009.0,0.0,16384.0,510423.0,171611.0,105240.0,105236.0
34.063,10.244,51.380,0.0,0.0,4.313,9022234.0,22878396.0,0.0,16384.0,508265.0,171255.0,104934.0,104933.0
34.242,10.368,51.363,0.0,0.0,4.027,9049334.0,22945309.0,0.0,16384.0,509000.0,171417.0,105194.0,105188.0
33.460,10.645,51.922,0.0,0.0,3.972,9001192.0,22819401.0,0.0,16384.0,505790.0,170436.0,104661.0,104661.0
33.776,10.332,51.690,0.0,0.0,4.202,8981034.0,22773386.0,0.0,40960.0,506410.0,169747.0,104392.0,104390.0
